epoch,steps,Accuracy,Accuracy_Threshold,F1,F1_Threshold,Precision,Recall,Average_Precision
0,-1,0.8436698841428392,0.00010047560499515384,0.9098421153969579,6.843388837296516e-05,0.8525657410052473,0.9753685260677366,0.8962459378900189
1,-1,0.8682282400078453,0.3788336515426636,0.9228031620034768,0.31151989102363586,0.8817758693642161,0.9678345975884548,0.9394810699856055
2,-1,0.8833723259690954,0.42700308561325073,0.9311568136148255,0.4261140525341034,0.8966555183946489,0.9684194230868466,0.9585735147930787
3,-1,0.8938372956388955,0.4335584044456482,0.936982307335498,0.37994247674942017,0.9036442939080699,0.9728744173245953,0.9725665450188734
4,-1,0.9003516341883695,0.4962944984436035,0.9405184969414506,0.40948164463043213,0.9110903286142733,0.9719111753272442,0.9783209023584409
5,-1,0.9059413569437246,0.44675010442733765,0.9437899528096657,0.4392603039741516,0.9188647583049577,0.970105096582211,0.9809764566459928
6,-1,0.910732547876886,0.4449460506439209,0.94647022301277,0.41652604937553406,0.9238971973332897,0.9701738995820218,0.9827116105162894
7,-1,0.9147812443087096,0.43054431676864624,0.9488972925939559,0.3847419023513794,0.9237786502028117,0.9754201283175946,0.9840112104296981
8,-1,0.9181154648996231,0.4808027744293213,0.9506051519809173,0.40978896617889404,0.928862188956733,0.9733904398231763,0.9850525344318948
9,-1,0.9206931816589848,0.49887728691101074,0.9523225535489291,0.45207536220550537,0.9306223630423719,0.975058912568588,0.9858458748966706
